iteration	D_loss	G_loss	Dx_score	DG_score1	DG_score2
67801	0.29718	2.87473	0.37233	0.19423	0.1815
68401	0.28039	2.93835	0.36611	0.18442	0.17637
69001	0.28187	2.90432	0.34425	0.16804	0.17443
69601	0.26577	2.84307	0.39135	0.19525	0.17182
70201	0.28795	2.92034	0.33877	0.1739	0.16179
70801	0.26212	2.96363	0.34795	0.16663	0.15872
71401	0.25399	3.00259	0.3785	0.1897	0.17539
72001	0.18219	2.93437	0.2342	0.09056	0.13509
72601	0.25472	2.98654	0.35505	0.17339	0.16327
73201	0.24814	2.99616	0.36991	0.18081	0.18102
73801	0.231	3.02086	0.32687	0.14661	0.13594
74401	0.22803	3.03474	0.12032	0.04608	0.12879
75001	0.24406	3.08174	0.30747	0.1351	0.13335
75601	0.24566	2.99874	0.29601	0.1293	0.11939
76201	0.24386	3.0168	0.3115	0.13785	0.1303
76801	0.24742	2.95707	0.33074	0.1483	0.14094
77401	0.23514	3.07087	0.36851	0.17599	0.16611
78001	0.20715	3.05834	0.35728	0.15925	0.15367
78601	0.22004	3.00975	0.26948	0.09713	0.10927
79201	0.23227	2.99269	0.26746	0.10721	0.10255
79801	0.22431	3.0588	0.24799	0.09433	0.08868
80401	0.20739	3.15385	0.30211	0.121	0.10783
81001	0.20952	3.13501	0.21924	0.07539	0.06761
81601	0.21301	3.11226	0.27778	0.10874	0.10401
82201	0.19494	3.17243	0.28465	0.10779	0.09953
82801	0.19936	3.14745	0.25822	0.09475	0.09391
83401	0.22822	3.15435	0.23613	0.08714	0.06785
84001	0.20675	3.10578	0.27894	0.10579	0.10364
84601	0.20296	3.14564	0.24751	0.08979	0.08537
85201	0.19371	3.06312	0.28922	0.11748	0.09488
85801	0.19575	3.1993	0.19533	0.06291	0.06018
86401	0.19632	3.15671	0.24652	0.08654	0.08196
87001	0.17872	3.28869	0.23687	0.08013	0.07995
87601	0.14957	3.11754	0.24337	0.07157	0.08216
88201	0.19761	3.17959	0.21969	0.07711	0.07419
88801	0.1773	3.19631	0.20774	0.06347	0.06047
89401	0.18063	3.23085	0.21158	0.06649	0.06407
90001	0.12649	3.29803	0.19923	0.05386	0.04928
90601	0.17344	3.18851	0.19836	0.05861	0.05694
91201	0.16518	3.25902	0.205	0.06195	0.05974
91801	0.15866	3.32046	0.22047	0.06661	0.05173
